USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,Party
6958,1969,Male,"over $150,000",,Bachelor's Degree,,,,Yes,,,,No,No,No,Yes,Yes,Yes,Yes,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
5688,1994,Male,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,Republican
364,1981,Male,"$75,000 - $100,000",Married (w/kids),Master's Degree,,Yes,No,Yes,No,No,Public,No,Yes,No,No,No,Yes,Yes,Science,Study first,No,Yes,Yes,No,Giving,No,Yes,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,A.M.,Yes,Start,Yes,Yes,Me,No,Yes,Yes,No,No,Mysterious,No,Yes,Talk,People,Yes,No,No,No,Yes,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Rent,Optimist,Mom,Yes,No,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Republican
2755,1997,Male,"under $25,000",Single (no kids),Current K-12,,,,,Yes,Yes,,No,No,No,,,,Yes,,,,,,,,Yes,Yes,,,Yes,Cool headed,,No,,,No,No,,P.M.,Yes,,,No,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
6481,1992,Female,,Single (no kids),Current Undergraduate,,,,,,,,,,,,,,,,,,,,,,,Yes,Idealist,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
1837,1995,Male,"under $25,000",,Current K-12,No,,No,,Yes,,Public,Yes,No,,No,No,,Yes,Science,,Yes,,,No,Giving,,,,,,,,,,,Yes,,,P.M.,,,,,,,,,,,,,,,,,,,,Yes,,,Mac,,,,,,,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,,Pessimist,,,,,,,,,No,Yes,,,,,,,Republican
3345,1988,Male,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Demanding,Yes,PC,Yes,Risk-friendly,No,Umm...,Yes,Space,No,In-person,No,No,Yes,No,Grrr people,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Rent,Pessimist,Dad,No,No,Yes,Yes,Nope,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Republican
3832,1994,Male,"$100,001 - $150,000",Single (no kids),Current Undergraduate,Yes,Yes,No,No,Yes,Yes,Public,Yes,Yes,Yes,Yes,No,No,No,Art,Study first,Yes,Yes,Yes,No,Receiving,Yes,Yes,Idealist,Yes,Yes,Hot headed,Standard hours,Yes,Happy,No,Yes,Yes,Yes,A.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,No,Yes,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,Yes,Supportive,Yes,PC,Yes,Cautious,Yes,Yes!,Yes,Space,No,In-person,No,No,Yes,Yes,Yay people!,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Own,Optimist,Mom,No,No,Yes,Yes,Nope,Yes,No,No,No,Yes,No,Yes,Yes,No,,Democrat
5095,1993,Female,"$50,000 - $74,999",Domestic Partners (no kids),Current Undergraduate,,Yes,No,No,No,Yes,Public,Yes,No,Yes,Yes,Yes,No,Yes,Science,,,,,No,Giving,,,,,,,,Yes,,,Yes,No,No,A.M.,Yes,Start,No,No,Circumstances,,No,Yes,No,No,Mysterious,No,No,Tunes,People,Yes,Yes,No,No,Yes,Demanding,Yes,Mac,Yes,Risk-friendly,No,,,,,,,,,,,,Yes,No,Yes,No,,,,Yes,No,Yes,No,Own,Optimist,Dad,No,No,Yes,Yes,Check!,No,No,No,Yes,,Yes,Yes,Yes,Yes,No,Republican
5452,1956,Male,,Single (no kids),Bachelor's Degree,No,No,No,No,Yes,No,Public,No,No,No,No,No,No,Yes,Science,Study first,Yes,Yes,Yes,Yes,Receiving,Yes,Yes,Idealist,No,No,Cool headed,Standard hours,No,Happy,No,Yes,No,No,P.M.,No,End,No,Yes,Circumstances,No,No,Yes,No,Yes,Mysterious,No,Yes,Tunes,Technology,Yes,Yes,Yes,No,No,Supportive,No,PC,No,Cautious,No,Yes!,No,Space,No,Online,No,Yes,Yes,Yes,Grrr people,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Own,Pessimist,Dad,No,Yes,No,Yes,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Democrat
697,1985,Male,"under $25,000",Single (no kids),,No,,No,,No,Yes,Private,No,Yes,No,Yes,Yes,,,,,,,,Yes,,No,Yes,Pragmatist,Yes,Yes,Hot headed,Odd hours,No,Happy,No,Yes,No,Yes,P.M.,Yes,Start,No,Yes,Me,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Talk,People,Yes,No,Yes,No,No,Demanding,No,Mac,Yes,Risk-friendly,No,Yes!,No,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Rent,Pessimist,Dad,Yes,No,No,No,Nope,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Democrat
3062,1978,Male,"under $25,000",Single (no kids),High School Diploma,No,No,No,No,,,,,,,,,,,,,,,No,Yes,Giving,,No,Pragmatist,No,Yes,,,,,,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,Yes,No,Yes,Mysterious,Yes,No,Tunes,People,No,No,Yes,Yes,No,Supportive,No,Mac,Yes,Cautious,No,Umm...,No,Socialize,No,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Rent,Pessimist,Mom,No,No,No,No,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Democrat
3803,1987,Female,"$25,001 - $50,000",Single (no kids),Master's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,Supportive,,Mac,No,Cautious,No,Umm...,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,,,,,Yes,No,,No,No,No,Yes,Yes,Rent,Optimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,No,Yes,,Democrat
6271,1995,Male,,Single (no kids),High School Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Demanding,No,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
4988,1981,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,No,Giving,,,,,,,,,,,,,,,,,,,,,,Yes,,No,Mysterious,Yes,No,,,No,No,Yes,No,No,Demanding,No,Mac,Yes,,No,,,,,,,,,,,Yes,Yes,Yes,No,No,,Yes,Yes,,,,,,,,,No,No,No,Check!,Yes,No,No,Yes,,,,,,Yes,Republican
6544,,Male,"$25,001 - $50,000",Domestic Partners (w/kids),High School Diploma,,,No,No,,,,,Yes,No,Yes,Yes,No,Yes,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
6925,1990,Female,"under $25,000",Single (no kids),Current Undergraduate,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Art,Study first,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
4350,1966,Male,"$50,000 - $74,999",Married (w/kids),Doctoral Degree,No,No,No,Yes,No,Yes,Private,,Yes,No,No,No,Yes,Yes,Art,Try first,Yes,,No,Yes,Giving,Yes,No,Idealist,Yes,No,Cool headed,Odd hours,No,,,Yes,Yes,No,A.M.,Yes,Start,No,Yes,Me,No,No,Yes,Yes,No,Mysterious,No,Yes,,People,Yes,No,No,No,Yes,Supportive,No,Mac,Yes,Risk-friendly,,Umm...,No,,Yes,In-person,No,No,Yes,Yes,,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Own,Optimist,Dad,Yes,No,No,,Nope,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Democrat
4082,1966,Male,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,,,No,,,,,No,Yes,No,No,,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,No,No,,,,,No,Mac,,Risk-friendly,,Umm...,No,Socialize,No,,,,,No,Yay people!,Yes,,,,,,,,Yes,,Yes,,,Optimist,Dad,,Yes,Yes,,,,,No,Yes,Yes,,Yes,Yes,,No,Republican
5148,1980,,"$50,000 - $74,999",Single (w/kids),Bachelor's Degree,,,,,,,,,,,,,,,,,No,No,Yes,No,Giving,Yes,Yes,Pragmatist,Yes,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,Yes,No,Me,No,Yes,Yes,No,No,Mysterious,No,No,Tunes,Technology,No,No,Yes,No,Yes,Demanding,,PC,Yes,Cautious,Yes,Umm...,Yes,Space,Yes,Online,Yes,No,Yes,Yes,Yay people!,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Check!,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Republican
2071,1980,Female,"$25,001 - $50,000",Married (w/kids),,,Yes,Yes,Yes,Yes,Yes,Public,No,Yes,No,Yes,No,No,Yes,Art,Study first,No,Yes,No,Yes,Giving,,Yes,Pragmatist,Yes,No,Hot headed,Standard hours,No,Right,Yes,,Yes,No,P.M.,No,End,Yes,No,Circumstances,No,Yes,Yes,Yes,No,TMI,Yes,No,Tunes,People,No,Yes,Yes,Yes,No,Supportive,No,Mac,Yes,Cautious,No,,,,,Online,No,,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,,Democrat
3224,1992,Male,"under $25,000",Single (no kids),Current Undergraduate,No,No,No,No,Yes,Yes,Public,No,Yes,No,No,No,No,Yes,Science,Try first,No,Yes,No,No,Giving,Yes,No,Idealist,No,No,Cool headed,Odd hours,No,Happy,Yes,Yes,Yes,Yes,A.M.,Yes,End,Yes,No,Me,Yes,No,Yes,No,No,Mysterious,No,No,Tunes,Technology,No,No,Yes,No,No,Supportive,No,Mac,Yes,Cautious,No,Yes!,No,Space,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Rent,Optimist,Mom,No,Yes,No,Yes,Nope,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Democrat
266,1981,Male,"over $150,000",Single (no kids),,,,Yes,,Yes,Yes,Public,No,,,Yes,No,,Yes,Science,Study first,Yes,No,No,Yes,Receiving,,,,,,Hot headed,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Demanding,No,PC,No,Cautious,No,Yes!,No,Space,Yes,In-person,No,Yes,No,Yes,Grrr people,Yes,No,Yes,No,No,Yes,No,Yes,Yes,,,,Own,Optimist,Dad,No,No,No,No,Nope,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,No,Republican
58,1990,Male,"$50,000 - $74,999",Single (no kids),,,Yes,No,No,No,Yes,Public,No,No,No,Yes,No,No,Yes,Art,Try first,Yes,No,No,No,Receiving,No,No,Idealist,No,Yes,Hot headed,Odd hours,Yes,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,No,No,Me,No,,,,No,TMI,No,No,Tunes,People,,,,,Yes,Demanding,Yes,Mac,Yes,Risk-friendly,Yes,Yes!,No,Space,Yes,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,Rent,Pessimist,Mom,No,Yes,No,,Check!,No,No,No,Yes,,Yes,Yes,Yes,No,No,Democrat
2765,1984,,"$50,000 - $74,999",Married (no kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,Yes,Cool headed,Odd hours,No,Right,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
2411,1995,Male,"$50,000 - $74,999",Single (no kids),Current K-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Me,,,,,No,,,,Tunes,,,,,,,Supportive,,Mac,,,,,,,,,,,,Yes,,,No,Yes,,,,Yes,,,,,Yes,,,,No,,Yes,Yes,,,,,,,,,,,Yes,Democrat
1095,1972,Female,"over $150,000",Married (w/kids),Bachelor's Degree,,Yes,No,No,No,No,Public,No,Yes,No,No,No,No,Yes,Art,Try first,Yes,No,Yes,No,Giving,Yes,,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,End,Yes,No,Circumstances,No,No,No,Yes,No,TMI,No,Yes,Tunes,People,Yes,No,No,No,Yes,Demanding,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,,No,Own,Optimist,Mom,No,No,Yes,Yes,Nope,Yes,No,No,,Yes,Yes,Yes,,,No,Democrat
6612,1995,Female,"under $25,000",Single (no kids),Current Undergraduate,,No,No,No,No,Yes,Public,No,,,Yes,Yes,Yes,Yes,Art,Study first,No,Yes,Yes,Yes,Receiving,No,Yes,Idealist,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1455,1993,Male,,Single (no kids),Current Undergraduate,No,Yes,No,No,No,No,Public,No,Yes,Yes,Yes,Yes,Yes,Yes,Science,Try first,No,No,No,No,Giving,Yes,Yes,Idealist,No,Yes,Hot headed,Odd hours,No,Right,No,Yes,No,No,P.M.,Yes,End,No,Yes,Me,Yes,Yes,No,No,Yes,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,PC,No,Risk-friendly,No,Yes!,No,Space,No,Online,No,Yes,No,Yes,Grrr people,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Own,Pessimist,Dad,No,No,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Republican
3019,1997,Male,"over $150,000",Single (no kids),Current K-12,Yes,Yes,No,No,Yes,No,Public,Yes,No,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,No,No,Receiving,Yes,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,No,No,No,Yes,P.M.,,End,Yes,Yes,,Yes,Yes,Yes,Yes,No,TMI,No,No,,Technology,No,,Yes,,Yes,Supportive,No,Mac,,Risk-friendly,No,Umm...,,Space,Yes,In-person,No,No,No,,Grrr people,Yes,No,No,No,No,No,,,Yes,No,No,No,Own,Pessimist,Dad,Yes,No,No,No,,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Republican
1414,1995,Male,"under $25,000",Single (no kids),Current K-12,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,End,Yes,No,,Yes,Yes,Yes,No,No,Mysterious,Yes,Yes,Tunes,People,Yes,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Cautious,No,Umm...,No,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Own,Optimist,Dad,No,Yes,No,Yes,Check!,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Republican
3065,1982,Male,,Married (no kids),Bachelor's Degree,,Yes,,,Yes,Yes,Public,No,Yes,No,,No,,,,,No,,,Yes,Giving,Yes,Yes,Idealist,,,Cool headed,Standard hours,No,Right,,,,,,,,,,,,,,,,,,,Talk,,,,,,,,,PC,Yes,Risk-friendly,Yes,Yes!,No,Socialize,Yes,In-person,No,,,,,No,Yes,No,No,,,,Yes,No,Yes,No,No,Own,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Democrat
6787,1990,Male,"$75,000 - $100,000",Single (no kids),Master's Degree,,,,,Yes,Yes,Public,Yes,No,Yes,Yes,Yes,Yes,Yes,Science,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
4528,1987,Male,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,No,Yes,No,Yes,No,No,Public,Yes,No,No,No,Yes,,Yes,,,No,Yes,No,Yes,Receiving,,Yes,Pragmatist,Yes,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,No,No,Me,Yes,Yes,Yes,Yes,Yes,Mysterious,No,No,Tunes,Technology,Yes,No,Yes,Yes,No,Supportive,No,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,Pessimist,Dad,,Yes,Yes,Yes,Check!,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,Republican
5026,1995,Female,"over $150,000",Single (no kids),Current K-12,,Yes,,No,No,Yes,Public,No,Yes,Yes,Yes,No,Yes,Yes,Science,Try first,Yes,Yes,Yes,Yes,Giving,No,No,Idealist,No,Yes,Hot headed,Standard hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,No,No,Yes,Yes,No,Mysterious,Yes,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,No,PC,Yes,Risk-friendly,Yes,Yes!,No,Space,Yes,Online,No,No,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Democrat
4036,1982,Male,"$100,001 - $150,000",Single (w/kids),,No,Yes,No,Yes,,Yes,Public,,Yes,No,Yes,No,No,No,Science,,,Yes,,,,,No,,No,,Cool headed,Odd hours,,,,Yes,,No,A.M.,Yes,,,Yes,Me,,Yes,Yes,No,No,,,,,,No,,,,No,,No,,Yes,,,,Yes,Space,No,In-person,No,,,No,Grrr people,Yes,Yes,No,Yes,,Yes,No,No,No,,,,Own,,Dad,,Yes,,,Nope,No,,No,Yes,,No,Yes,,No,No,Republican
